Recency,Frequency,Monetary,Cluster
23,142,1383.36,RISK
20,72,1382.74,RISK
53,34,1382.07,RISK
21,26,1379.9,BEST
68,82,1378.4,RISK
104,31,1375.71,RISK
16,141,1373.76,NEW
22,12,1372.8,BEST
2,279,1371.77,NEW
99,94,1370.78,RISK
104,47,1370.6,RISK
24,95,1367.88,RISK
8,55,1366.38,NEW
3,59,1362.91,NEW
29,43,1360.99,RISK
3,76,1360.55,NEW
26,178,1358.74,RISK
28,83,1356.33,RISK
13,58,1353.74,BEST
18,45,1352.75,BEST
17,21,1352,BEST
80,56,1351.63,RISK
26,98,1348.93,RISK
24,156,1348.88,RISK
239,52,1345.62,RISK
16,73,1345.53,RISK
120,69,1341.65,RISK
3,41,1341.6,NEW
31,73,1340.87,RISK
120,83,1340.7,RISK
15,152,1339.49,NEW
115,26,1339.45,RISK
41,237,1337.72,RISK
41,251,1337.18,RISK
8,50,1335.19,BEST
66,160,1334.91,RISK
29,77,1334.34,RISK
109,5,1333.35,LOST
29,90,1331.57,RISK
10,79,1328.55,NEW
13,202,1328.35,NEW
165,91,1327.16,RISK
31,70,1324.84,RISK
23,74,1324.16,RISK
45,342,1320.95,RISK
15,176,1320.21,NEW
34,75,1320.09,RISK
3,80,1319.91,NEW
3,82,1319.72,NEW
12,119,1319.29,NEW
101,31,1317.62,RISK
79,109,1316.25,RISK
30,78,1316.07,RISK
11,68,1314.81,NEW
107,32,1314.45,RISK
43,54,1314.45,RISK
65,65,1313.55,RISK
46,43,1312.14,RISK
20,10,1309.6,BEST
59,30,1309.14,RISK
316,17,1308.48,LOST
18,62,1305.33,RISK
88,23,1304.04,RISK
208,40,1303.91,RISK
82,221,1301.91,RISK
144,80,1299.95,RISK
36,126,1299.59,RISK
20,230,1298.66,NEW
4,77,1295.39,NEW
57,96,1295.3,RISK
4,16,1293.03,BEST
11,236,1291.91,NEW
71,76,1290.7,RISK
36,65,1290.53,RISK
331,5,1289.5,LOST
3,68,1286.7,NEW
4,60,1286.27,NEW
8,70,1281.32,NEW
43,25,1280.85,RISK
21,122,1280.58,RISK
29,68,1278.98,RISK
135,86,1277.75,RISK
256,3,1276,LOST
55,35,1271.57,RISK
8,123,1271.06,NEW
16,138,1270.41,NEW
67,46,1269.1,RISK
71,77,1268.98,RISK
59,13,1268.7,RISK
16,16,1267.65,BEST
88,75,1267.32,RISK
32,67,1266.97,RISK
239,74,1266.23,RISK
66,41,1266.08,RISK
101,63,1264.19,RISK
18,15,1262.2,BEST
1,62,1260.86,NEW
78,15,1259.56,RISK
12,180,1259.43,NEW
242,166,1259.24,RISK
296,74,1257.87,RISK
31,50,1257.51,RISK
4,82,1255.59,NEW
38,59,1247.69,RISK
31,10,1247.5,BEST
1,76,1245.9,NEW
22,77,1244.59,RISK
7,35,1242.3,BEST
100,23,1240.2,RISK
79,67,1240.11,RISK
1,76,1239.38,NEW
179,58,1238.47,RISK
10,73,1237.85,NEW
180,157,1237.82,RISK
96,58,1237.53,RISK
87,69,1236.54,RISK
19,2,1231.5,BEST
59,54,1231.31,RISK
1,266,1228.88,NEW
36,87,1227.43,RISK
22,59,1226.89,RISK
7,137,1224.06,NEW
73,47,1224.06,RISK
40,116,1221.56,RISK
147,154,1220.77,RISK
113,69,1220.26,RISK
37,58,1219.4,RISK
59,148,1217.65,RISK
2,200,1217.27,NEW
12,50,1215.84,BEST
16,64,1214.72,BEST
78,76,1214.41,RISK
97,153,1213.73,RISK
26,61,1213.16,RISK
50,30,1212.84,RISK
16,69,1212.66,RISK
37,44,1207.56,RISK
20,63,1207.24,RISK
8,44,1205.32,BEST
26,390,1201.51,NEW
95,79,1201.06,RISK
20,79,1197.81,RISK
1,278,1196.5,NEW
4,67,1194.73,NEW
3,65,1191.13,NEW
144,41,1188.62,RISK
15,71,1188.12,BEST
33,66,1187.66,RISK
37,103,1187.21,RISK
45,60,1186.35,RISK
82,128,1184.84,RISK
82,62,1179.89,RISK
16,36,1178.53,BEST
22,70,1177.47,RISK
124,75,1175.38,RISK
63,71,1175.22,RISK
64,58,1174.35,RISK
60,60,1173.12,RISK
23,106,1170.81,RISK
21,220,1168.89,NEW
23,65,1166.77,RISK
4,17,1164.55,BEST
51,52,1163.45,RISK
19,70,1163.23,RISK
11,156,1162.65,NEW
21,57,1160.07,RISK
18,42,1159.11,BEST
64,45,1158.79,RISK
30,68,1157.87,RISK
15,213,1156.6,NEW
32,69,1154.47,RISK
89,72,1154.4,RISK
10,64,1153.62,BEST
161,52,1145.84,RISK
273,34,1145.6,RISK
10,104,1145.21,NEW
199,38,1143.27,RISK
123,37,1142.42,RISK
353,54,1141.24,RISK
93,53,1140.93,RISK
302,36,1140.35,RISK
95,69,1140.21,RISK
17,5,1138,BEST
15,79,1135.63,BEST
108,40,1135.04,RISK
23,50,1134.28,RISK
7,12,1133.25,BEST
18,37,1132.14,BEST
28,72,1132.03,RISK
30,192,1131.75,RISK
8,68,1131.56,NEW
23,59,1129.14,RISK
219,87,1129.06,RISK
10,29,1127.71,BEST
2,52,1123.86,NEW
219,59,1123.51,RISK
34,173,1122.63,RISK
78,69,1122.41,RISK
14,63,1122.38,BEST
143,67,1121.59,RISK
66,70,1120.88,RISK
99,64,1119.74,RISK
70,34,1118.99,RISK
74,5,1117.9,LOST
65,58,1117.13,RISK
52,79,1116.92,RISK
54,73,1116.7,RISK
109,208,1116.68,RISK
21,57,1116.47,RISK
200,63,1110.34,RISK
179,70,1109.53,RISK
21,74,1107.46,RISK
1,47,1106.53,NEW
211,46,1106.4,RISK
5,58,1105.88,NEW
41,233,1105.78,RISK
13,68,1105.59,BEST
3,158,1102.49,NEW
23,63,1101.97,RISK
85,65,1100.9,RISK
92,190,1100.27,RISK
77,49,1098.78,RISK
3,20,1098.48,BEST
38,68,1098.43,RISK
35,155,1097.98,RISK
45,134,1096.32,RISK
10,55,1095.42,BEST
19,62,1094.59,RISK
26,49,1093.94,RISK
28,60,1093.68,RISK
78,68,1090.24,RISK
57,23,1090.14,RISK
32,61,1086.92,RISK
19,176,1082.81,NEW
12,215,1082.33,NEW
153,97,1081.26,RISK
76,69,1080.76,RISK
95,63,1080.52,RISK
39,42,1079.66,RISK
11,32,1079.61,BEST
157,47,1078.96,RISK
12,63,1078.23,BEST
54,19,1077.74,RISK
40,299,1074.81,RISK
23,44,1073.3,BEST
9,53,1072.36,BEST
29,50,1071.99,RISK
11,98,1071.91,NEW
1,418,1071.73,NEW
27,69,1071.49,RISK
68,62,1071.03,RISK
2,73,1070.71,NEW
50,70,1070.65,RISK
4,62,1070.48,NEW
90,9,1070.48,LOST
4,172,1068.87,NEW
49,128,1068.82,RISK
12,291,1067.75,NEW
31,35,1066.15,RISK
228,69,1065.35,RISK
68,46,1064.28,RISK
9,63,1064.07,BEST
46,64,1063.95,RISK
17,62,1063.9,BEST
311,14,1063,LOST
171,44,1062.75,RISK
3,58,1060.76,NEW
64,55,1060.56,RISK
15,66,1060.25,BEST
15,70,1059.39,BEST
60,101,1059.12,RISK
11,64,1058.89,BEST
17,65,1054.73,BEST
11,202,1051.79,NEW
26,71,1051.4,RISK
39,57,1049.7,RISK
33,62,1048.49,RISK
46,263,1048.28,RISK
241,21,1047.11,LOST
34,148,1046.74,RISK
338,155,1044.65,RISK
16,144,1043.64,NEW
65,45,1043.46,RISK
10,54,1043.41,BEST
15,60,1041.68,BEST
22,64,1041.61,RISK
8,55,1041.48,BEST
27,127,1040.38,RISK
247,123,1038.44,RISK
94,58,1037.59,RISK
3,97,1036.58,NEW
51,18,1035.45,RISK
74,40,1033.34,RISK
169,98,1033.06,RISK
71,40,1033,RISK
1,82,1031.41,NEW
212,58,1031.07,RISK
157,36,1030.4,RISK
86,28,1030.14,RISK
208,16,1028.56,LOST
255,81,1028.46,RISK
5,30,1028,BEST
65,20,1025.44,RISK
2,69,1025.44,NEW
15,48,1022.13,BEST
9,20,1021.69,BEST
121,60,1021.58,RISK
19,199,1021.5,NEW
46,42,1021.48,RISK
99,53,1019.76,RISK
157,15,1019.52,LOST
5,147,1019.27,NEW
3,56,1018.71,NEW
37,63,1016.14,RISK
30,29,1013.01,BEST
72,181,1012.19,RISK
202,7,1012,LOST
87,47,1010.6,RISK
1,277,1010.35,NEW
31,48,1010.29,RISK
52,71,1010.18,RISK
116,84,1010.11,RISK
110,113,1009.73,RISK
127,57,1009.6,RISK
126,23,1009.55,RISK
51,41,1006.98,RISK
11,67,1006.8,BEST
57,39,1006.56,RISK
31,60,1005.09,RISK
31,67,1004.38,RISK
101,56,1004.27,RISK
36,55,1003.38,RISK
24,28,1003.06,BEST
189,92,1000.27,RISK
117,61,1000.16,RISK
24,35,996.1,BEST
197,67,993.54,RISK
85,50,993.18,RISK
18,60,992.5,BEST
92,60,991.13,RISK
44,37,990.88,RISK
61,69,990.2,RISK
152,248,989.45,RISK
71,57,987.86,RISK
3,61,987.1,NEW
6,302,986.96,NEW
1,48,984.57,NEW
52,10,984.5,BEST
128,29,982.42,RISK
94,26,982.07,RISK
45,67,981.86,RISK
23,167,981.51,RISK
33,38,980.31,RISK
9,44,979.72,BEST
16,40,979.12,BEST
18,52,977.93,BEST
213,57,977.77,RISK
1,40,975.36,NEW
9,122,974.96,NEW
24,17,974.54,BEST
26,60,974.52,RISK
4,61,974.42,NEW
82,7,973.84,LOST
22,82,972.11,RISK
23,161,972.08,RISK
18,65,971.74,BEST
5,14,969.1,BEST
260,53,969.06,RISK
2,46,965.88,NEW
15,12,965.61,BEST
116,30,962.19,RISK
1,55,961.49,NEW
113,50,958.71,RISK
72,45,957.97,RISK
19,40,957.66,BEST
4,150,955.26,NEW
8,60,955.24,BEST
53,31,954.9,RISK
44,50,954.09,RISK
10,71,952.66,BEST
59,53,950.36,RISK
37,63,949.12,RISK
71,46,948.88,RISK
25,6,948.48,BEST
45,67,946.67,RISK
13,90,946.64,BEST
3,24,946.46,BEST
29,57,945.33,RISK
59,31,944.13,RISK
269,9,944.1,LOST
3,59,942.34,NEW
5,43,942.26,BEST
29,58,939.78,RISK
54,47,939.37,RISK
80,28,936.08,RISK
4,66,935.05,NEW
92,4,935,LOST
92,16,934.62,RISK
88,30,933.7,RISK
26,200,933.26,RISK
114,56,932.97,RISK
236,64,932.85,RISK
212,1,931.5,LOST
55,61,931.03,RISK
32,104,931.02,RISK
6,67,930.28,BEST
72,42,925.85,RISK
184,50,925.71,RISK
118,43,925.35,RISK
75,47,924.85,RISK
52,13,924.6,BEST
16,43,924.15,BEST
9,21,922.53,BEST
94,55,922.39,RISK
96,32,922.12,RISK
264,31,922.1,RISK
74,27,921.88,RISK
38,43,921.37,RISK
41,16,920.1,BEST
130,22,919.61,RISK
22,159,918.33,RISK
26,51,918.2,RISK
16,53,918.2,BEST
53,20,917.34,RISK
29,25,917.07,BEST
35,205,916.98,RISK
13,105,916.13,NEW
3,40,915.13,BEST
267,37,914.93,RISK
23,149,914.69,RISK
50,9,913.68,BEST
96,29,913.19,RISK
102,52,913.13,RISK
19,55,912.18,BEST
95,63,911.94,RISK
9,47,911.26,BEST
63,6,910,LOST
13,113,908.86,NEW
80,28,908.46,RISK
15,195,906.52,NEW
50,48,903.9,RISK
81,51,901.2,RISK
267,2,901.2,LOST
12,158,900.53,NEW
55,96,899.69,RISK
196,53,899.63,RISK
11,179,899.26,NEW
176,103,896.74,RISK
41,40,895.13,RISK
53,42,893.59,RISK
10,104,891.21,NEW
73,59,891.12,RISK
67,47,890.85,RISK
30,42,890.34,RISK
51,52,889.93,RISK
30,74,887.67,RISK
17,79,887.11,BEST
32,133,886.7,RISK
3,33,885.47,BEST
169,31,885.19,RISK
76,98,884.14,RISK
4,226,882.72,NEW
30,49,882.24,RISK
29,116,881.29,RISK
86,52,881.26,RISK
138,48,881.07,RISK
173,49,880.85,RISK
79,148,877.56,RISK
93,6,877.44,LOST
232,52,876.42,RISK
10,217,875.17,NEW
16,23,874.98,BEST
5,35,874.59,BEST
10,192,874.43,NEW
190,54,873.74,RISK
1,42,870.12,NEW
19,46,870.09,BEST
73,54,869.87,RISK
8,142,869.77,NEW
10,57,869.46,BEST
32,102,869.28,RISK
138,52,868.49,RISK
25,71,867.38,RISK
41,46,867.31,RISK
1,22,867.19,BEST
11,47,866.24,BEST
194,35,865.6,RISK
25,55,865.06,RISK
41,124,862.5,RISK
74,61,861.89,RISK
201,54,860.12,RISK
13,123,859.71,NEW
18,43,859.43,BEST
19,113,859.27,RISK
41,169,856.84,RISK
59,61,855.45,RISK
270,39,855.02,RISK
236,47,854.99,RISK
95,27,854.95,RISK
9,48,854.79,BEST
57,204,854.66,RISK
68,42,853.39,RISK
12,82,852.88,BEST
12,121,852.39,NEW
22,33,852.15,BEST
17,46,851.01,BEST
12,196,849.06,NEW
18,126,848.22,RISK
11,85,847.45,BEST
240,66,847.41,RISK
12,156,846.62,NEW
162,44,845.55,RISK
22,84,843.64,RISK
15,50,843.48,BEST
11,5,843,BEST
169,9,842.65,LOST
85,48,842.5,RISK
27,57,841.41,RISK
26,48,841.2,BEST
36,25,841.08,BEST
23,25,840.21,BEST
17,49,839.14,BEST
8,39,837.5,BEST
42,52,837.1,RISK
254,54,836.79,RISK
38,42,836.06,RISK
58,54,835.78,RISK
25,55,834.57,RISK
18,77,834.12,BEST
178,62,833.78,RISK
68,26,830.76,RISK
21,81,829.89,RISK
18,57,827.83,BEST
297,50,826.53,RISK
26,100,826.36,RISK
69,101,824.58,RISK
17,34,822.48,BEST
298,21,821.1,LOST
64,142,820.23,RISK
17,90,819.96,BEST
78,21,819.29,RISK
115,51,817.86,RISK
23,127,817.12,RISK
212,33,816.73,RISK
1,50,815.77,NEW
216,78,814.47,RISK
133,7,814,LOST
4,62,813.52,BEST
52,29,813.48,RISK
57,27,813.11,RISK
31,103,812.68,RISK
166,30,811.45,RISK
28,132,811.23,RISK
177,6,810.6,LOST
81,48,810.57,RISK
26,190,808.44,RISK
19,83,807.57,RISK
267,48,806.41,RISK
281,89,804.74,RISK
52,99,804.3,RISK
123,47,804.02,RISK
166,232,803.54,RISK
72,46,801.51,RISK
6,123,801.12,NEW
37,127,800.67,RISK
12,27,800.59,BEST
117,43,799.9,RISK
35,55,798.74,RISK
122,82,798.46,RISK
6,132,798.35,NEW
11,51,797.96,BEST
19,37,797.07,BEST
77,51,795.12,RISK
58,66,794.64,RISK
44,52,792.11,RISK
19,65,791.33,BEST
57,72,790.86,RISK
73,47,789.89,RISK
8,42,789.79,BEST
85,16,788.38,LOST
3,21,787.85,BEST
7,59,787.6,BEST
20,141,786.83,RISK
60,47,786.54,RISK
46,45,786.28,RISK
46,31,784.58,RISK
63,38,784.33,RISK
56,125,783.97,RISK
145,70,783.9,RISK
34,84,781.91,RISK
5,44,781.78,BEST
24,110,781.28,RISK
156,53,781.03,RISK
10,49,780.59,BEST
22,111,780.43,RISK
57,30,779.9,RISK
12,41,778.94,BEST
89,37,778.65,RISK
37,53,778.5,RISK
44,6,778,LOST
32,4,777.6,BEST
84,49,777.53,RISK
33,45,776.851,RISK
16,86,775.96,BEST
2,62,775.94,NEW
261,42,775.85,RISK
39,28,775.18,BEST
10,39,774.9,BEST
37,39,773.99,RISK
318,122,773.55,RISK
78,27,773.03,RISK
51,71,772.55,RISK
185,13,771.85,LOST
43,43,770.03,RISK
89,108,769.81,RISK
88,95,769.33,RISK
76,53,769.29,RISK
22,49,769.16,BEST
80,42,768.24,RISK
27,11,765.71,BEST
235,61,765.55,RISK
132,35,765.34,RISK
132,15,765.32,LOST
15,135,764.88,RISK
108,6,763.64,LOST
10,41,763.28,BEST
103,93,762.16,RISK
27,52,761.74,RISK
19,53,761.59,BEST
19,43,759.17,BEST
87,55,758.92,RISK
3,53,758.29,BEST
31,97,757.63,RISK
219,42,757.39,RISK
11,47,757.37,BEST
226,20,755.75,LOST
37,38,754.64,RISK
22,147,754.12,RISK
213,43,753.66,RISK
52,164,752.77,RISK
136,43,752.6,RISK
267,13,752.43,LOST
176,2,750,LOST
106,35,749.78,RISK
100,51,749.7,RISK
51,44,749.1,RISK
29,107,748.84,RISK
45,47,748.5,RISK
145,52,747.81,RISK
60,37,747.44,RISK
20,76,746.81,BEST
32,54,746.36,RISK
16,30,745.52,BEST
17,46,745.06,BEST
11,35,745.06,BEST
24,36,744.85,BEST
96,27,744.25,RISK
71,51,743.53,RISK
52,82,743.11,RISK
29,157,741.37,RISK
288,35,741.26,RISK
183,43,740.95,RISK
127,46,740.94,RISK
36,44,740.78,RISK
15,38,738.96,BEST
212,22,738.6,LOST
23,106,735.82,RISK
105,41,735.67,RISK
152,12,735.66,LOST
47,35,734.94,RISK
157,29,734.13,RISK
36,138,732.41,RISK
23,46,732.07,BEST
50,39,731.9,RISK
47,39,731.5,RISK
127,35,730.86,RISK
5,190,729.8,NEW
120,36,729.32,RISK
17,119,728.54,RISK
4,18,728.16,BEST
31,78,727.74,RISK
106,10,725.64,LOST
90,25,724.76,RISK
30,45,723.21,BEST
57,63,721.94,RISK
9,70,721.45,BEST
24,122,720.86,RISK
186,96,720.81,RISK
173,27,720.52,RISK
46,101,719.81,RISK
190,34,717.9,RISK
4,47,716.57,BEST
92,12,716.2,LOST
21,65,716,BEST
111,2,716,LOST
32,13,714.96,BEST
66,45,714.42,RISK
36,49,713.89,RISK
40,15,713.04,BEST
64,13,712.88,LOST
10,4,712.8,BEST
33,19,712.78,BEST
44,19,712.5,BEST
64,8,712.4,LOST
120,40,712.29,RISK
137,80,712.24,RISK
178,80,711.79,RISK
92,23,711.41,RISK
186,36,710.28,RISK
32,77,709.99,RISK
123,44,709.71,RISK
60,37,709.38,RISK
4,115,708.89,NEW
9,41,708.22,BEST
198,40,707.69,RISK
3,16,707.31,BEST
106,42,706.57,RISK
8,15,706.13,BEST
12,52,705.79,BEST
67,39,705.12,RISK
4,181,704.55,NEW
52,21,704.25,BEST
25,165,703.99,RISK
25,42,703.47,BEST
31,35,703.36,BEST
288,12,702,LOST
41,157,701.57,RISK
18,39,701.4,BEST
80,33,701.23,RISK
17,31,700.73,BEST
54,43,700.63,RISK
46,26,698.41,RISK
191,174,697.54,RISK
107,117,696.89,RISK
172,86,696.68,RISK
198,42,695.61,RISK
64,59,695.42,RISK
37,83,694.12,RISK
5,45,694.05,BEST
5,69,693.95,BEST
170,31,693.81,RISK
45,99,693.32,RISK
14,10,692.85,BEST
39,35,692.19,RISK
77,46,690.59,RISK
19,41,690.34,BEST
64,40,689.9,RISK
66,16,689.48,LOST
9,28,689.1,BEST
117,39,688.86,RISK
5,34,688.33,BEST
95,139,686.63,RISK
40,33,684.34,RISK
185,46,683.46,RISK
177,41,683.17,RISK
25,44,682.91,BEST
29,20,681.91,BEST
3,46,681.64,BEST
22,89,681.41,RISK
26,70,680.84,RISK
41,27,680.18,BEST
77,7,680.02,LOST
86,42,679.68,RISK
19,49,679.45,BEST
7,30,679.44,BEST
93,41,678.25,RISK
96,123,678.16,RISK
131,35,677.1,RISK
9,43,676.99,BEST
267,5,676.2,LOST
75,49,675.8,RISK
60,27,675.69,RISK
19,200,675.56,RISK
40,97,675.51,RISK
82,12,675.3,LOST
122,79,674.89,RISK
122,32,674.7,RISK
58,41,674.68,RISK
178,35,674.52,RISK
176,39,674.45,RISK
47,107,673.26,RISK
12,36,672.83,BEST
91,24,671.96,RISK
21,21,668.56,BEST
72,34,668.43,RISK
71,45,667.65,RISK
3,20,666.1,BEST
159,90,665.78,RISK
3,142,664.34,NEW
45,66,664.26,RISK
6,146,664.11,NEW
192,33,664,RISK
6,37,663.81,BEST
85,42,663.61,RISK
68,48,661.52,RISK
23,45,661.32,BEST
275,2,660,LOST
28,35,659.46,BEST
33,25,659.41,BEST
33,34,658.88,BEST
36,26,658.64,BEST
135,10,657.9,LOST
74,48,657.8,RISK
43,111,657.3,RISK
49,33,657.23,RISK
8,99,657.16,BEST
16,18,656.69,BEST
64,14,656.68,LOST
46,27,656.63,BEST
12,55,656.61,BEST
39,40,656.25,RISK
85,23,655.75,RISK
25,47,655.58,BEST
46,84,654.67,RISK
67,101,653.75,RISK
115,38,653.38,RISK
135,38,653.35,RISK
11,35,653.33,BEST
149,31,653.3,RISK
85,37,653.24,RISK
4,110,653.19,NEW
151,4,652.8,LOST
11,33,652.74,BEST
17,95,652.68,BEST
22,57,651.47,BEST
45,66,650.75,RISK
12,57,650.43,BEST
39,42,650.41,RISK
21,81,650.32,BEST
22,86,648.89,RISK
3,88,648.26,NEW
25,190,647.56,RISK
40,57,646.92,RISK
38,138,646.83,RISK
52,52,646.76,RISK
27,206,646.42,RISK
37,32,646.3,BEST
119,20,645.65,LOST
139,14,644.3,LOST
60,105,643.9,RISK
75,98,643.76,RISK
17,39,642.8,BEST
170,41,642.41,RISK
43,141,642.32,RISK
157,22,642.02,LOST
10,39,641.94,BEST
211,20,641.92,LOST
5,28,640.83,BEST
1,20,640.76,BEST
117,13,640.14,LOST
204,24,639.5,LOST
31,87,639.02,RISK
57,39,638.06,RISK
45,41,638.05,RISK
61,46,637.5,RISK
165,30,636.51,RISK
20,98,636.24,RISK
99,51,636.14,RISK
302,120,636.12,RISK
6,10,635.68,BEST
211,15,635.66,LOST
19,31,635.41,BEST
27,27,632.97,BEST
247,21,632.4,LOST
227,37,632.07,RISK
6,96,632,BEST
155,22,631.9,LOST
60,36,631.89,RISK
65,34,631.57,RISK
22,21,631.35,BEST
86,37,631.34,RISK
45,95,631.12,RISK
237,29,630.84,LOST
31,35,629.31,BEST
15,6,628.78,BEST
107,15,628.38,LOST
86,36,627.16,RISK
149,42,626.77,RISK
285,38,626.65,RISK
12,33,626.45,BEST
58,134,626.3,RISK
24,171,625.42,RISK
45,95,623.93,RISK
240,28,623.5,LOST
257,29,623.4,LOST
213,76,623.28,RISK
169,34,623.16,RISK
290,40,622.88,RISK
154,29,622.85,RISK
116,27,621.83,RISK
29,31,621.75,BEST
9,57,621.68,BEST
87,5,621.66,LOST
75,49,621.29,RISK
12,97,621.09,BEST
88,30,620.4,RISK
70,30,618.59,RISK
22,35,618.09,BEST
104,81,618.09,RISK
22,151,617.15,RISK
191,11,617.05,LOST
18,37,616.26,BEST
158,17,616.15,LOST
26,126,615.49,RISK
38,41,615.14,RISK
15,18,614.66,BEST
212,34,612.78,RISK
36,164,612.72,RISK
51,16,612.08,BEST
113,31,612.06,RISK
19,52,612.01,BEST
219,18,611.88,LOST
199,23,611.85,LOST
219,38,610.59,RISK
150,42,610.01,RISK
36,28,609.85,BEST
257,89,609.4,RISK
2,171,609.3,NEW
109,23,608.79,LOST
24,106,607.53,RISK
3,35,606.91,BEST
218,26,605.8,LOST
130,28,605.64,RISK
262,88,605.58,RISK
58,40,605.34,RISK
74,43,605.12,RISK
115,36,605.06,RISK
19,43,604.64,BEST
36,30,604.51,BEST
32,28,603.75,BEST
260,71,602.63,RISK
75,44,602.51,RISK
72,4,601.56,LOST
66,28,601.04,RISK
26,42,600.07,BEST
14,136,599.48,BEST
24,128,598.73,RISK
4,26,598.57,BEST
71,11,598.49,LOST
23,27,598.2,BEST
31,34,597.91,BEST
157,30,597.09,RISK
214,8,596.85,LOST
22,50,596.76,BEST
16,97,596.36,BEST
18,89,596.26,BEST
24,4,596.1,BEST
96,81,596.09,RISK
120,39,595.67,RISK
26,19,595.42,BEST
31,32,595.25,BEST
6,169,594.52,NEW
123,148,594.39,RISK
47,18,594.24,BEST
79,90,594.04,RISK
128,2,594,LOST
249,2,594,LOST
5,31,593.75,BEST
82,37,592.97,RISK
33,33,592.06,BEST
137,68,591.55,RISK
32,97,591.19,RISK
64,30,590.93,RISK
259,2,590,LOST
27,11,589.7,BEST
197,25,588.85,LOST
161,31,588.22,RISK
117,34,588.13,RISK
36,27,587.15,BEST
323,91,586.89,RISK
203,57,585.12,RISK
319,5,585,LOST
90,33,584.5,RISK
288,23,584.32,LOST
7,31,584.07,BEST
28,34,584.06,BEST
65,37,583.75,RISK
8,72,583.43,BEST
19,29,582.6,BEST
312,21,580.05,LOST
239,15,579,LOST
39,31,578.94,BEST
25,25,578.9,BEST
12,201,578.71,NEW
73,28,578.7,RISK
60,213,578.61,RISK
91,42,576.4,RISK
38,39,576,BEST
4,61,575.63,BEST
58,34,575.4,RISK
40,62,575.35,RISK
149,25,574.7,LOST
24,34,574.44,BEST
66,86,574.07,RISK
290,31,574.02,LOST
45,10,573.22,BEST
26,97,572.56,RISK
74,27,572.451,RISK
146,80,571.71,RISK
61,18,571.25,LOST
44,62,570.96,RISK
64,37,570.5,RISK
23,45,568.55,BEST
17,125,568.24,BEST
72,11,567.36,LOST
68,52,567.18,RISK
59,93,566.86,RISK
32,37,566.58,BEST
100,23,566.38,LOST
44,37,565.46,RISK
24,27,564.62,BEST
214,39,564.17,RISK
1,26,563.94,BEST
1,44,563.23,BEST
87,30,563.15,RISK
211,29,562.79,LOST
39,50,562.59,RISK
79,11,561.57,LOST
243,34,560.67,LOST
291,33,560.47,LOST
51,29,559.97,RISK
197,33,559.87,LOST
313,47,559.61,RISK
82,86,559.59,RISK
3,38,558.96,BEST
74,28,558.7,RISK
310,33,558.32,LOST
35,158,557.94,RISK
61,8,557.62,LOST
199,19,557.3,LOST
13,90,554.85,BEST
148,33,554.38,RISK
9,16,553.44,BEST
46,104,553.36,RISK
94,27,552.13,RISK
308,1,550.8,LOST
139,122,550.01,RISK
86,41,549.46,RISK
127,58,549.28,RISK
110,54,548.12,RISK
92,98,547.9,RISK
46,29,547.66,BEST
5,28,547.07,BEST
31,35,547.06,BEST
89,23,547.02,LOST
29,68,547,RISK
54,30,546.81,RISK
15,46,546.4,BEST
46,26,546.2,BEST
11,43,546.04,BEST
88,28,544.3,RISK
40,44,544.18,RISK
75,13,544.08,LOST
116,6,543.05,LOST
41,46,542.73,RISK
190,35,542.03,RISK
40,36,541.53,BEST
14,34,541.46,BEST
358,18,540.45,LOST
50,24,538.55,BEST
7,41,538.46,BEST
16,32,537.48,BEST
55,63,537.06,RISK
31,3,537,LOST
23,60,536.99,BEST
250,37,535.34,LOST
107,31,534.85,RISK
330,35,534.57,LOST
107,141,534.31,RISK
74,10,534.24,LOST
122,4,533.98,LOST
214,41,533.3,RISK
172,20,532.94,LOST
37,123,531.35,RISK
301,23,530.15,LOST
134,47,529.73,RISK
98,6,529.62,LOST
17,31,529.41,BEST
30,56,528.48,BEST
2,39,528.33,BEST
36,29,528.08,BEST
61,191,528.01,RISK
33,33,527.05,BEST
2,123,525.17,NEW
128,39,524.92,RISK
9,52,524.88,BEST
36,28,524.14,BEST
14,33,523.11,BEST
81,3,523,LOST
45,29,522.91,BEST
52,5,521.2,LOST
134,23,520.8,LOST
15,83,519.69,BEST
210,28,519.68,LOST
31,28,519.44,BEST
72,24,518.42,RISK
72,7,518.28,LOST
51,94,518.27,RISK
1,97,518.19,NEW
263,21,517.55,LOST
192,61,517.53,RISK
36,32,517.36,BEST
273,13,516.42,LOST
36,35,515.77,BEST
238,33,514.15,LOST
174,26,513.7,LOST
308,28,513.24,LOST
72,6,513.2,LOST
4,96,513.01,BEST
74,10,512.31,LOST
78,29,511.82,RISK
227,60,511.68,RISK
23,28,511.35,BEST
60,29,511.34,RISK
6,31,511.12,BEST
31,53,510.71,BEST
85,28,508.8,RISK
164,3,508.8,LOST
65,24,508.58,RISK
117,7,508.46,LOST
79,14,507.84,LOST
40,41,507.66,BEST
21,29,507.29,BEST
39,101,507.05,RISK
189,28,506.8,LOST
13,104,506.51,BEST
183,26,506.19,LOST
292,83,505.82,RISK
77,39,505.18,RISK
23,31,503.76,BEST
170,26,503.6,LOST
173,72,502.9,RISK
58,30,501.56,RISK
312,29,501.39,LOST
3,93,501.28,BEST
138,30,501.14,LOST
18,25,501.12,BEST
15,33,500.42,BEST
172,1,500,LOST
41,42,499.42,BEST
61,19,499.32,LOST
71,7,498.95,LOST
